City,pH,Moisture Content,Organic Matter,Drainage Profile
Sanjwal,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Sann,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sarai Alamgir,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sargodha,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sarhari,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sehwan,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Setharja,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Shadiwal,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Shah Dipalli,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Shahdadkot,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Shahdadpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Shahkot,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Shahpur Chakar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Shahpur City,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Shahpur Jahania,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Shahpur Saddar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Shakargarh,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sharqpur,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Shehr Sultan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sheikhupura,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Shekhupura,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Shikarpur,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Shujaabad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sialkot,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Sibi,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Sillanwali,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sinjhoro,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sita Road,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Sobhodero,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sodhra,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sohawa,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Sohbatpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Sujawal,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Sukheke,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Sukkur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Surab,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Talagang,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Talhar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Tandlianwala,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Tando Adam,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Tando Allah Yar,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Tando Bagho,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Tando Ghulam Ali,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Tando Jam,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Tando Jan Mohammad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Tando Mitha Khan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Tando Muhammad Khan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Tangwani,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Taunsa,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Taxila,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Thano Bula Khan,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Thari Mirwah,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Tharushah,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Thatta,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Ther I,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Ther I Mohabat,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Thul,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Tibba Sultanpur,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Toba Tek Singh,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Tulamba,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Turbat,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Ubauro,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Uch,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Umarkot,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Usta Muhammad,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Uthal,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Wadh,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Wah,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
Warah,8.0 - 8.4,High (Flooded Matrix),0.5% - 0.7%,Poorly to Moderately drained
Warburton,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Wazirabad,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Winder,8.2 - 8.6,Low to Saturation,0.3% - 0.5%,Poorly to Imperfectly drained
Yazman,8.3 - 8.7,Very Low,0.2% - 0.4%,Excessively drained (Sandy)
Zafarwal,7.6 - 8.1,Moderate to High,0.6% - 0.9%,Well to Moderately well-drained
Zahir Pir,8.0 - 8.4,Moderate,0.4% - 0.7%,Well-drained
Zehri,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Zhob,8.1 - 8.5,Low,0.3% - 0.5%,Excessively drained (Stony silt)
Ziarat,7.3 - 7.8,Moderate,0.8% - 1.3%,Well-drained (Gravelly loam)
