Province/ division/ district,Geographical area,Reported area (4+9),Total Cultivated area (5+6),Current fallows Cultivated area,Net area sown Cultivated area,Total Cropped area (6+8),"Area sown more than
once Cropped area",Total Uncultivated area (10+11+12),Culturable waste Uncultivated area,Forest Uncultivated area,"Not availa- ble for cultiv
ation"
Mandi Baha-ud-Din,"2,673",268,221,25,196,317,121,47,11,5,31
Narowal,"2,337",235,177,1,176,275,99,58,1,3,54
Sialkot,"3,016",306,252,62,190,"2,410",200,54,24,6,24
Lahore Div.,"11,727","1,169",922,68,854,"1,450",596,247,52,10,185
Kasur,"3,995",394,320,31,289,491,202,74,5,6,63
Lahore,"1,772",181,100,9,91,163,72,81,9,-,72
Nankana Sahib,"2,216",223,184,22,162,306,144,39,20,-,19
Sheikhupura,"3,744",371,318,6,312,"3,527",178,53,18,4,31
Multan Division,"15,211","1,524","1,292",79,"1,213","2,086",873,232,55,5,172
Khanewal,"4,349",428,358,30,328,515,187,70,27,4,39
Lodhran,"2,778",280,244,11,233,456,223,36,8,1,27
Multan,"3,720",379,310,28,282,470,188,69,16,-,53
Vehari,"4,364",437,380,10,370,"1,503",275,57,4,-,53
Rawalpindi Div.,"22,254","2,243","1,003",239,764,864,100,"1,240",191,243,806
Attock,"6,857",692,320,84,236,258,22,372,34,73,265
Chakwal,"6,525",669,319,76,243,270,27,350,34,58,258
Jhelum,"3,587",357,125,19,106,111,5,232,56,43,133
Rawalpindi,"5,285",525,239,60,179,"2,529",46,286,67,69,150
Sahiwal Div.,"10,302","1,033",852,36,816,"1,470",654,181,72,8,101
Sahiwal,"3,201",321,262,4,258,446,188,59,15,5,39
Okara,"4,377",439,342,16,326,613,287,97,39,2,56
Pakpattan,"2,724",273,248,16,232,"3,863",179,25,18,1,6
Sargodha Div.,"26,360","2,634","2,096",339,"1,757","2,212",455,538,97,76,365
Bhakkar,"8,153",814,746,118,628,821,193,68,15,20,33
Khushab,"6,511",654,469,18,451,479,28,185,35,41,109
Mianwali,"5,840",577,383,108,275,351,76,194,10,13,171
Sargodha,"5,856",589,498,95,403,,158,91,37,2,52
Islamabad,906,94,48,24,24,24,-,46,2,11,33
2016-17,,,,,,,,,,,
PUNJAB,"206,251","17,518","12,626","2,108","10,518","16,032","5,515","4,892","1,531",475,"2,886"
Bahawalpur Div.,"45,588","2,142","1,721",233,"1,488","2,172",684,421,170,9,242
Bahawalnagar,"8,878",742,620,34,586,796,210,122,46,0,76
Bahawalpur,"24,830",608,457,110,347,663,315,151,70,3,78
Rahim Yar Khan,"11,880",792,644,89,555,713,159,148,54,6,88
D.G.Khan Div.,"38,778","3,157","1,929",572,"1,357","1,992",636,"1,228",500,77,651
D.G.Khan,"11,922",935,454,123,331,388,58,481,62,24,395
Layyah,"6,289",628,491,111,380,545,164,137,103,11,23
Muzaffargarh,"8,249",831,488,193,295,641,347,343,210,35,98
Rajanpur,"12,318",763,496,145,351,418,67,267,125,7,135
Faisalabad Div.,"17,918","1,791","1,384",123,"1,261","1,964",703,406,210,12,184
Faisalabad,"5,857",584,480,3,477,667,191,104,51,1,52
Chiniot,"2,643",263,151,41,110,283,172,112,65,-,47
Jhang,"6,166",616,484,49,435,631,196,132,71,5,56
T.T.Singh,"3,252",327,269,30,239,383,144,58,23,6,29
Gujranwala Div.,"17,207","1,731","1,365",215,"1,149","2,116",967,368,126,27,215
Gujranwala,"3,622",367,289,59,230,511,281,78,30,1,47
Gujrat,"3,192",321,235,94,141,293,152,86,34,12,40
Hafizabad,"2,367",236,190,38,152,348,195,47,27,0,19
Mandi Baha-ud-Din,"2,673",268,221,22,199,309,110,47,11,5,31
Narowal,"2,337",236,178,2,176,261,86,58,1,3,54
Sialkot,"3,016",304,251,0,251,394,143,53,23,6,24
Lahore Div.,"11,727","1,171",927,93,834,"1,429",594,244,51,11,182
Kasur,"3,995",395,323,56,267,475,209,72,5,6,61
Lahore,"1,772",181,100,9,91,166,75,81,9,0,72
Nankana Sahib,"2,216",224,185,22,163,299,135,39,19,0,19
Sheikhupura,"3,744",371,319,6,313,489,175,52,18,4,30
Multan Division,"15,211","1,524","1,280",99,"1,181","1,978",798,243,66,5,172
Khanewal,"4,349",428,355,27,328,483,156,73,29,4,40
Lodhran,"2,778",280,245,12,233,445,212,35,7,1,27
Multan,"3,720",378,307,50,257,451,194,71,26,0,45
Vehari,"4,364",438,373,10,363,599,236,65,4,0,61
Rawalpindi Div.,"22,254","2,242",994,304,690,775,85,"1,248",215,243,790
Attock,"6,857",692,320,116,204,213,10,372,42,73,257
Chakwal,"6,525",668,318,91,227,249,22,350,34,58,258
Jhelum,"3,587",357,125,31,94,105,11,232,56,43,133
Rawalpindi,"5,285",525,231,66,165,208,42,294,83,69,142
Sahiwal Div.,"10,302","1,032",851,48,803,"1,443",640,181,56,7,118
Sahiwal,"3,201",320,261,3,258,410,152,59,15,5,39
Okara,"4,377",440,342,22,320,621,301,98,40,2,56
Pakpattan,"2,724",272,248,23,225,412,187,24,1,1,23
Sargodha Div.,"26,360","2,635","2,128",395,"1,733","2,141",407,507,134,73,300
Bhakkar,"8,153",813,746,91,655,820,164,67,14,20,33
Khushab,"6,511",654,460,5,455,463,8,194,69,41,84
Mianwali,"5,840",578,428,203,225,331,107,150,3,10,137
Sargodha,"5,856",590,494,96,398,527,128,96,48,2,46
Islamabad,906,94,48,26,22,22,-,46,2,11,0
2017-18,,,,,,,,,,,
PUNJAB,"206,251","17,533","12,633","1,876","10,757","16,427","5,670","4,900","1,471",478,"2,951"
Bahawalpur Div.,"45,588","2,156","1,713",154,"1,559","2,268",709,443,171,11,261
Bahawalnagar,"8,878",741,619,23,596,847,251,122,43,1,78
Bahawalpur,"24,830",623,453,48,405,688,283,170,72,4,94
Rahim Yar Khan,"11,880",792,641,83,558,733,175,151,56,6,89
D.G.Khan Div.,"38,778","3,158","1,906",463,"1,443","2,068",625,"1,252",532,77,643
D.G.Khan,"11,922",936,463,139,324,415,91,473,46,24,403
Layyah,"6,289",628,491,109,382,557,175,137,103,11,23
Muzaffargarh,"8,249",831,463,85,378,672,294,368,258,35,75
Rajanpur,"12,318",763,489,130,359,424,65,274,125,7,142
Faisalabad Div.,"17,918","1,791","1,419",226,"1,193","2,032",839,372,178,12,182
Faisalabad,"5,857",585,480,3,477,673,196,105,52,1,52
Chiniot,"2,643",263,183,47,136,293,157,80,35,-,45
Jhang,"6,166",616,484,143,341,677,336,132,71,5,56
T.T.Singh,"3,252",327,272,33,239,389,150,55,20,6,29
Gujranwala Div.,"17,207","1,732","1,390",133,"1,257","2,097",840,342,90,27,225
Gujranwala,"3,622",368,316,7,309,471,162,52,14,1,37
Gujrat,"3,192",322,236,61,175,295,120,86,33,12,41
Hafizabad,"2,367",234,189,37,152,354,202,45,26,-,19
Mandi Baha-ud-Din,"2,673",269,221,22,199,312,113,48,11,5,32
Narowal,"2,337",235,177,1,176,268,92,58,1,3,54
Sialkot,"3,016",304,251,5,246,397,151,53,5,6,42
Lahore Div.,"11,727","1,169",925,90,835,"1,446",611,244,53,10,181
Kasur,"3,995",395,319,49,270,483,213,76,7,6,63
Lahore,"1,772",181,103,13,90,162,72,78,9,-,69
Nankana Sahib,"2,216",222,184,21,163,304,141,38,19,-,19
Sheikhupura,"3,744",371,319,7,312,497,185,52,18,4,30
Multan Division,"15,211","1,524","1,289",106,"1,183","2,056",873,235,58,5,172
Khanewal,"4,349",428,358,32,326,522,196,70,24,4,42
Lodhran,"2,778",280,245,10,235,458,223,35,6,1,28
Multan,"3,720",378,308,54,254,483,229,70,24,-,46
Vehari,"4,364",438,378,10,368,593,225,60,4,-,56
Rawalpindi Div.,"22,254","2,243","1,009",321,688,803,115,"1,234",226,243,765
Attock,"6,857",692,319,123,196,216,20,373,34,73,266
Chakwal,"6,525",669,331,88,243,266,23,338,53,58,227
Jhelum,"3,587",357,130,48,82,106,24,227,56,43,128
Rawalpindi,"5,285",525,229,62,167,215,48,296,83,69,144
Sahiwal Div.,"10,302","1,030",846,21,825,"1,462",637,184,57,7,120
Sahiwal,"3,201",320,261,3,258,419,161,59,15,5,39
Okara,"4,377",438,341,16,325,637,312,97,39,2,56
Pakpattan,"2,724",272,244,2,242,406,164,28,3,-,25
Sargodha Div.,"26,360","2,636","2,088",336,"1,752","2,173",421,548,103,75,370
Bhakkar,"8,153",813,747,105,642,834,192,66,14,20,32
Khushab,"6,511",656,461,19,442,476,34,195,35,41,119
Mianwali,"5,840",577,386,119,267,338,71,191,8,13,170
Sargodha,"5,856",590,494,93,401,525,124,96,46,1,49
Islamabad,906,94,48,26,22,22,-,46,3,11,32
2018-19,,,,,,,,,,,
PUNJAB,"206,251","17,534","12,600","1,737","10,863","17,052","6,189","4,934","1,509",479,"2,946"
Bahawalpur Div.,"45,588","2,157","1,713",176,"1,537","2,437",900,444,184,10,250
Bahawalnagar,"8,878",741,619,40,579,911,332,122,43,-,79
Bahawalpur,"24,830",623,447,39,408,742,334,176,81,4,91
Rahim Yar Khan,"11,880",793,647,97,550,784,234,146,60,6,80
D.G.Khan Div.,"38,781","3,157","1,830",316,"1,514","2,276",762,"1,327",531,77,719
D.G.Khan,"11,922",936,463,92,371,495,124,473,46,24,403
Layyah,"6,291",629,491,110,381,492,111,138,103,11,24
Muzaffargarh,"8,249",830,463,85,378,774,396,367,258,34,75
Rajanpur,"12,319",762,413,29,384,515,131,349,124,8,217
Faisalabad Div.,"17,917","1,791","1,446",129,"1,317","1,945",628,345,152,12,181
Faisalabad,"5,857",584,479,4,475,649,174,105,52,1,52
Chiniot,"2,643",263,188,45,143,292,149,75,31,1,43
Jhang,"6,166",617,507,46,461,619,158,110,48,5,57
T.T.Singh,"3,252",327,272,34,238,385,147,55,21,5,29
Gujranwala Div.,"17,207","1,732","1,367",178,"1,189","2,196","1,007",365,92,27,246
Gujranwala,"3,622",366,292,22,270,548,278,74,16,1,57
Gujrat,"3,192",322,236,67,169,299,130,86,33,12,41
Hafizabad,"2,367",235,189,37,152,356,204,46,26,-,20
Mandi Baha-ud-Din,"2,673",269,222,22,200,313,113,47,10,5,32
Narowal,"2,337",235,177,1,176,289,113,58,1,3,54
Sialkot,"3,016",305,251,29,222,391,169,54,6,6,42
Lahore Div.,"11,727","1,170",925,91,834,"1,532",698,245,53,11,181
Kasur,"3,995",213,137,48,89,342,253,76,7,6,63
Lahore,"1,772",362,284,14,270,341,71,78,9,-,69
Nankana Sahib,"2,216",223,185,22,163,330,167,38,19,-,19
Sheikhupura,"3,744",372,319,7,312,519,207,53,18,5,30
Multan Division,"15,211","1,525","1,286",96,"1,190","2,177",987,239,86,5,148
Khanewal,"4,349",428,360,27,333,593,260,68,23,4,41
Lodhran,"2,778",280,245,8,237,447,210,35,6,1,28
Multan,"3,720",358,302,51,251,500,249,56,27,-,29
Vehari,"4,364",459,379,10,369,637,268,80,30,-,50
Rawalpindi Div.,"22,254","2,241","1,036",373,663,806,143,"1,205",255,243,707
Attock,"6,857",692,319,121,198,218,20,373,34,73,266
Chakwal,"6,524",669,330,83,247,264,17,339,35,58,246
Jhelum,"3,587",353,158,75,83,105,22,195,56,43,96
Rawalpindi,"5,286",527,229,94,135,219,84,298,130,69,99
Sahiwal Div.,"10,302","1,032",850,37,813,"1,402",589,182,54,8,120
Sahiwal,"3,201",320,261,4,257,417,160,59,15,5,39
Okara,"4,377",439,344,31,313,564,251,95,37,2,56
Pakpattan,"2,724",273,245,2,243,421,178,28,2,1,25
Sargodha Div.,"26,358","2,635","2,098",315,"1,783","2,258",475,537,100,75,362
Bhakkar,"8,153",813,748,95,653,847,194,65,14,19,32
Khushab,"6,511",655,460,13,447,471,24,195,36,41,118
Mianwali,"5,840",577,386,110,276,361,85,191,42,13,136
Sargodha,"5,854",590,504,97,407,579,172,86,8,2,76
Islamabad,907,94,49,26,23,23,0,45,2,11,32
